title,director,cast,country,genre,overview,year,source,combined_text,is_indian
Charlie and the Chocolate Factory,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States","Children & Family Movies, Comedies",The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,2005.0,Netflix,"Charlie and the Chocolate Factory Tim Burton Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz Children & Family Movies, Comedies The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.",False
Charlie's Angels: Full Throttle,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,"Action & Adventure, Comedies","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.",2003.0,Netflix,"Charlie's Angels: Full Throttle McG Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese Action & Adventure, Comedies In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.",False
Charlotte's Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",1973.0,Netflix,"Charlotte's Web Charles A. Nichols, Iwao Takamoto Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden Children & Family Movies, Classic Movies Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",False
Chashme Buddoor,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,"Comedies, International Movies, Music & Musicals","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",2013.0,Netflix,"Chashme Buddoor David Dhawan Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma Comedies, International Movies, Music & Musicals When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",True
Chasing Amy,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",United States,"Comedies, Cult Movies, Dramas","Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.",1997.0,Netflix,"Chasing Amy Kevin Smith Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith Comedies, Cult Movies, Dramas Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.",False
Chasing the Dragon,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China","Action & Adventure, Dramas, International Movies","In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop.",2017.0,Netflix,"Chasing the Dragon Wong Jing, Jason Kwan Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang Action & Adventure, Dramas, International Movies In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop.",False
Chasing Trane,John Scheinfeld,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",United States,"Documentaries, Music & Musicals","Featuring interviews, insights and archival footage, this documentary aims to reveal how historical events shaped the music of John Coltrane.",2016.0,Netflix,"Chasing Trane John Scheinfeld Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West Documentaries, Music & Musicals Featuring interviews, insights and archival footage, this documentary aims to reveal how historical events shaped the music of John Coltrane.",False
Chauthi Koot,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France","Dramas, Independent Movies, International Movies",Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.,2015.0,Netflix,"Chauthi Koot Gurvinder Singh Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi Dramas, Independent Movies, International Movies Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.",True
Chernobyl Diaries,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,"Horror Movies, Thrillers","A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps...",2012.0,Netflix,"Chernobyl Diaries Bradley Parker Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff Horror Movies, Thrillers A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps...",False
Chhota Bheem Aur Kaala Yodha,"Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,Movies,"Finally released after being trapped in an ancient book for centuries, a wicked warrior sets out to conquer Dholakpur – but not if Bheem can help it!",2018.0,Netflix,"Chhota Bheem Aur Kaala Yodha Sidheswar Shukla, Asit Mohapatra Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju Movies Finally released after being trapped in an ancient book for centuries, a wicked warrior sets out to conquer Dholakpur – but not if Bheem can help it!",False
Chhota Bheem Ka Romani Adventure,"Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,Children & Family Movies,"Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem’s wile and wit save the day?",2018.0,Netflix,"Chhota Bheem Ka Romani Adventure Asit Mohapatra, Shyamal Chaulia Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju Children & Family Movies Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem’s wile and wit save the day?",False
Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,Movies,Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?,2018.0,Netflix,"Chhota Bheem Ka Troll Se Takkar Shyamal Chaulia, Asit Mohapatra Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju Movies Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?",False
Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,Children & Family Movies,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!,2019.0,Netflix,"Chhota Bheem Kungfu Dhamaka Rajiv Chilaka, Binayak Das Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni Children & Family Movies Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!",True
Chicken Kokkachi,Anuranjan Premji,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",India,"Comedies, International Movies","In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done.",2017.0,Netflix,"Chicken Kokkachi Anuranjan Premji Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth Comedies, International Movies In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done.",True
Chicken Little,Mark Dindal,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",United States,"Children & Family Movies, Comedies",No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!,2005.0,Netflix,"Chicken Little Mark Dindal Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn Children & Family Movies, Comedies No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!",False
Chief Daddy,Niyi Akinmolayan,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,"Comedies, Dramas, International Movies","When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune.",2018.0,Netflix,"Chief Daddy Niyi Akinmolayan Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor Comedies, Dramas, International Movies When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune.",False
Child's Play,Tom Holland,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",United States,"Cult Movies, Horror Movies","When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.",1988.0,Netflix,"Child's Play Tom Holland Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder Cult Movies, Horror Movies When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.",False
China Salesman,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,"Action & Adventure, International Movies",A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,2017.0,Netflix,"China Salesman Tan Bing Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian Action & Adventure, International Movies A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.",False
Chingo Bling: They Can't Deport Us All,Luis Lopez,Chingo Bling,,Stand-Up Comedy,"On point and larger than life, rapper and stand-up comic Chingo Bling gathers his funniest friends for a rambunctious take on Tex-Mex culture.",2017.0,Netflix,"Chingo Bling: They Can't Deport Us All Luis Lopez Chingo Bling Stand-Up Comedy On point and larger than life, rapper and stand-up comic Chingo Bling gathers his funniest friends for a rambunctious take on Tex-Mex culture.",False
Chittagong,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","United States, India, Bangladesh","Dramas, Independent Movies, International Movies","In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors.",2012.0,Netflix,"Chittagong Bedabrata Pain Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya Dramas, Independent Movies, International Movies In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors.",True
Chitty Chitty Bang Bang,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States","Children & Family Movies, Classic Movies, Comedies","Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.",1968.0,Netflix,"Chitty Chitty Bang Bang Ken Hughes Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin Children & Family Movies, Classic Movies, Comedies Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.",False
Chloe,Atom Egoyan,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France","Independent Movies, Thrillers","Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",2009.0,Netflix,"Chloe Atom Egoyan Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani Independent Movies, Thrillers Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",False
Chris Brown: Welcome to My Life,Andrew Sandler,Chris Brown,United States,"Documentaries, Music & Musicals","Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown.",2017.0,Netflix,"Chris Brown: Welcome to My Life Andrew Sandler Chris Brown Documentaries, Music & Musicals Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown.",False
Christian Mingle,Corbin Bernsen,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen",United States,"Comedies, Faith & Spirituality, Romantic Movies",A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.,2014.0,Netflix,"Christian Mingle Corbin Bernsen Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen Comedies, Faith & Spirituality, Romantic Movies A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.",False
Christmas Crush,Marita Grabiak,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","Canada, United States","Comedies, Romantic Movies",Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.,2012.0,Netflix,"Christmas Crush Marita Grabiak Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty Comedies, Romantic Movies Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.",False
Christmas in the Smokies,Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice",United States,"Children & Family Movies, Dramas, Romantic Movies","In the Smoky Mountains, an ambitious woman works to save her family's historic berry farm as her ex, a country music star, returns to town.",2015.0,Netflix,"Christmas in the Smokies Gary Wheeler Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice Children & Family Movies, Dramas, Romantic Movies In the Smoky Mountains, an ambitious woman works to save her family's historic berry farm as her ex, a country music star, returns to town.",False
Christmas with the Kranks,Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, Erik Per Sullivan, Cheech Marin, Jake Busey, M. Emmet Walsh, Kevin Chamberlin, Elizabeth Franz, René Lavan",United States,"Children & Family Movies, Comedies",When Luther Krank and his wife opt to skip Christmas – no tree and no rooftop Frosty – can they handle the fallout from their family and neighbors?,2004.0,Netflix,"Christmas with the Kranks Joe Roth Tim Allen, Jamie Lee Curtis, Dan Aykroyd, Erik Per Sullivan, Cheech Marin, Jake Busey, M. Emmet Walsh, Kevin Chamberlin, Elizabeth Franz, René Lavan Children & Family Movies, Comedies When Luther Krank and his wife opt to skip Christmas – no tree and no rooftop Frosty – can they handle the fallout from their family and neighbors?",False
Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi",United States,"Children & Family Movies, Comedies, Dramas","Now a careworn middle-aged man, Christopher Robin goes on a familiar adventure when his old pal Winnie the Pooh brings him to the Hundred Acre Wood.",2018.0,Netflix,"Christopher Robin Marc Forster Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi Children & Family Movies, Comedies, Dramas Now a careworn middle-aged man, Christopher Robin goes on a familiar adventure when his old pal Winnie the Pooh brings him to the Hundred Acre Wood.",False
Chronicle of an Escape,Israel Adrián Caetano,"Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase",Argentina,"Dramas, International Movies, Thrillers","Soccer goalie Claudio Tamburrini is kidnapped by the Argentine military. Several months later, he joins other prisoners in planning a daring escape.",2006.0,Netflix,"Chronicle of an Escape Israel Adrián Caetano Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase Dramas, International Movies, Thrillers Soccer goalie Claudio Tamburrini is kidnapped by the Argentine military. Several months later, he joins other prisoners in planning a daring escape.",False
Chupan Chupai,Mohsin Ali,"Ahsan Khan, Neelam Muneer, Faizan Khawaja, Ali Rizvi, Vajdaan Shah, Zayed Sheikh, Talat Hussain, Javed Sheikh",Pakistan,"Comedies, International Movies","The lives of five hapless, petty criminals careen into madcap disarray when their plan to abduct a wealthy minister’s son goes horribly wrong.",2017.0,Netflix,"Chupan Chupai Mohsin Ali Ahsan Khan, Neelam Muneer, Faizan Khawaja, Ali Rizvi, Vajdaan Shah, Zayed Sheikh, Talat Hussain, Javed Sheikh Comedies, International Movies The lives of five hapless, petty criminals careen into madcap disarray when their plan to abduct a wealthy minister’s son goes horribly wrong.",False
Chupke Chupke,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee",India,"Classic Movies, Comedies, International Movies","Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.",1975.0,Netflix,"Chupke Chupke Hrishikesh Mukherjee Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee Classic Movies, Comedies, International Movies Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.",True
Cirque du Freak: The Vampire's Assistant,Paul Weitz,"John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal",United States,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","When Darren Shan is taken to a circus that's chock-full of sideshow oddities, he meets a vampire and receives a life-changing bite on the neck.",2009.0,Netflix,"Cirque du Freak: The Vampire's Assistant Paul Weitz John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal Action & Adventure, Horror Movies, Sci-Fi & Fantasy When Darren Shan is taken to a circus that's chock-full of sideshow oddities, he meets a vampire and receives a life-changing bite on the neck.",False
City of God,"Fernando Meirelles, Katia Lund","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga","Brazil, France, Germany","Dramas, Independent Movies, International Movies","Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.",2002.0,Netflix,"City of God Fernando Meirelles, Katia Lund Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga Dramas, Independent Movies, International Movies Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.",False
City of Tiny Lights,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird",United Kingdom,"Dramas, International Movies, Thrillers","In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker.",2016.0,Netflix,"City of Tiny Lights Pete Travis Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird Dramas, International Movies, Thrillers In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker.",False
Clarence Clemons: Who Do I Think I Am?,Nick Mead,Clarence Clemons,United States,"Documentaries, Music & Musicals",This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.,2019.0,Netflix,"Clarence Clemons: Who Do I Think I Am? Nick Mead Clarence Clemons Documentaries, Music & Musicals This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.",False
Clash of the Titans,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","United States, United Kingdom, Australia","Action & Adventure, Sci-Fi & Fantasy","If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.",2010.0,Netflix,"Clash of the Titans Louis Leterrier Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans Action & Adventure, Sci-Fi & Fantasy If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.",False
Class of '61,Gregory Hoblit,"Christien Anholt, Andre Braugher, Dan Futterman, Josh Lucas, Clive Owen, Sophie Ward, Sue-Ann Leeds, Laura Linney",United States,Dramas,"As the Civil War looms, a runaway slave seeks freedom, and West Point cadets find their camaraderie shattered as they choose between North or South.",1993.0,Netflix,"Class of '61 Gregory Hoblit Christien Anholt, Andre Braugher, Dan Futterman, Josh Lucas, Clive Owen, Sophie Ward, Sue-Ann Leeds, Laura Linney Dramas As the Civil War looms, a runaway slave seeks freedom, and West Point cadets find their camaraderie shattered as they choose between North or South.",False
Class Rank,Eric Stoltz,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang",United States,Comedies,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",2018.0,Netflix,"Class Rank Eric Stoltz Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang Comedies When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",False
Cleopatra Jones,Jack Starrett,"Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters",United States,"Action & Adventure, Classic Movies","A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.",1973.0,Netflix,"Cleopatra Jones Jack Starrett Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters Action & Adventure, Classic Movies A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.",False
